sq,question,option_a,option_b,option_c,option_d,answer,type,category
"1","The sum of ages of a father and son is 60 years. Five years ago, the father was six times as old as his son. What is the present age of the father?","50 years","45 years","40 years","55 years","A","quantitative","Equations & Problems on Ages"
"2","A mother is twice as old as her daughter. Ten years later, she will be 1.5 times as old as her daughter. What is the present age of the mother?","30 years","40 years","35 years","45 years","B","quantitative","Equations & Problems on Ages"
"3","The ratio of ages of two brothers is 3:5. Five years hence, the elder brother will be 20 years old. Find the age of the younger brother now.","12 years","15 years","18 years","20 years","C","quantitative","Equations & Problems on Ages"
"4","A man is 4 times as old as his son. After 10 years, he will be three times as old. Find their present ages.","20 and 5","30 and 10","40 and 10","36 and 9","C","quantitative","Equations & Problems on Ages"
"5","The sum of the ages of three friends is 60. If the first is twice the second, and the third is 5 years older than the second, find their ages.","20, 10, 15","25, 12, 23","30, 15, 15","24, 12, 24","A","quantitative","Equations & Problems on Ages"
"6","Ravi’s age is 3 years more than twice the age of his sister. If the sister is 7 years old, how old is Ravi?","17 years","16 years","15 years","14 years","A","quantitative","Equations & Problems on Ages"
"7","Five years ago, the sum of ages of a father and son was 40. Now the father is three times as old as the son. Find the present age of the son.","10 years","15 years","12 years","8 years","C","quantitative","Equations & Problems on Ages"
"8","The sum of the ages of a father and his son is 66 years. Ten years ago, the father’s age was 5 times the son’s age. Find their present ages.","55 and 11","50 and 16","44 and 22","60 and 6","A","quantitative","Equations & Problems on Ages"
"9","The ages of A and B are in the ratio 4:5. After 6 years, the ratio will be 5:6. Find their present ages.","16 and 20","20 and 25","12 and 15","18 and 22","A","quantitative","Equations & Problems on Ages"
"10","A father is 3 times as old as his son. After 12 years, he will be twice as old. What is the present age of the son?","12 years","10 years","14 years","15 years","B","quantitative","Equations & Problems on Ages"
"11","The sum of ages of three sisters is 45. If the first is 3 years older than the second, and the second is twice the age of the third, find their ages.","15, 12, 6","18, 15, 12","20, 15, 10","12, 15, 18","A","quantitative","Equations & Problems on Ages"
"12","Two years ago, a man was 5 times as old as his son. Now the sum of their ages is 50. Find the son’s age.","8 years","10 years","12 years","15 years","C","quantitative","Equations & Problems on Ages"
"13","A father is 28 years older than his son. In 4 years, the father will be 3 times as old as the son. Find their present ages.","28 and 14","32 and 4","40 and 12","36 and 8","D","quantitative","Equations & Problems on Ages"
