sq,question,option_a,option_b,option_c,option_d,answer,type,category
"1","Which of the following is not a function of an operating system?","Process Management","Memory Management","Data Mining","File Management","C","technical","OS"
"2","In a multithreading environment, what does a context switch do?","Switch between processes","Switch between threads","Terminate a thread","Allocate memory","B","technical","OS"
"3","Which scheduling algorithm may cause starvation?","Round Robin","First Come First Serve","Shortest Job Next","Priority Scheduling","D","technical","OS"
"4","What is the main purpose of a page table?","Store disk data","Map virtual memory to physical memory","Manage CPU registers","Store I/O requests","B","technical","OS"
"5","Which condition occurs when two processes wait indefinitely for resources?","Deadlock","Starvation","Livelock","Thrashing","A","technical","OS"
"6","What is thrashing in operating systems?","Excessive paging","Process waiting for CPU","Memory leakage","CPU overload","A","technical","OS"
"7","Which memory allocation method divides memory into fixed-sized blocks?","Segmentation","Paging","Contiguous Allocation","Dynamic Partitioning","B","technical","OS"
"8","Which system call is used to create a new process?","fork()","exec()","open()","close()","A","technical","OS"
"9","Which of the following is a preemptive scheduling algorithm?","FCFS","Shortest Job Next","Round Robin","Priority (non-preemptive)","C","technical","OS"
"10","What type of OS allows multiple users to use the system simultaneously?","Batch OS","Real-Time OS","Time-Sharing OS","Single-User OS","C","technical","OS"
"11","Which type of operating system is used in embedded systems?","Time-Sharing OS","Batch OS","Real-Time OS","Distributed OS","C","technical","OS"
"12","In paging, what is a page fault?","When a process requests data in RAM","When data is not in RAM","When CPU is idle","When disk is full","B","technical","OS"
"13","Which of the following is a characteristic of a microkernel?","Large codebase","Monolithic design","Minimal services in kernel","No interprocess communication","C","technical","OS"
"14","Which technique is used to prevent deadlock by resource allocation?","Banker’s Algorithm","Round Robin","FCFS","Priority Scheduling","A","technical","OS"
"15","Which file system is commonly used in Linux?","NTFS","FAT32","ext4","HFS+","C","technical","OS"
"16","What is virtual memory?","Memory in CPU","Disk space acting as RAM","Cache memory","Registers","B","technical","OS"
"17","Which type of operating system manages a network of computers?","Distributed OS","Embedded OS","Time-Sharing OS","Batch OS","A","technical","OS"
"18","What is the main disadvantage of FCFS scheduling?","Complexity","Starvation","High response time","Deadlocks","C","technical","OS"
"19","Which algorithm is used to allocate CPU to processes in equal time slices?","FCFS","Priority Scheduling","Round Robin","SJF","C","technical","OS"
"20","What is a semaphore used for?","Memory allocation","Process synchronization","Process termination","File management","B","technical","OS"
"21","Which scheduling policy ensures fairness in CPU allocation?","Priority Scheduling","Shortest Job First","Round Robin","FCFS","C","technical","OS"
"22","What is the main purpose of an interrupt in OS?","Terminate process","Notify CPU of event","Allocate memory","Schedule process","B","technical","OS"
"23","Which memory management scheme allows non-contiguous memory allocation?","Paging","Segmentation","Contiguous Allocation","Fixed Partitioning","A","technical","OS"
"24","What is the function of a kernel in an OS?","Manages user interface","Manages hardware and resources","Handles backups","Runs applications","B","technical","OS"
"25","Which type of operating system handles multiple tasks at the same time?","Single-tasking","Multi-tasking","Real-Time","Batch","B","technical","OS"
"26","Which of the following is an advantage of multithreading?","High memory usage","Lower CPU utilization","Faster execution of concurrent tasks","Fewer processes","C","technical","OS"
"27","Which page replacement algorithm removes the page that has not been used for the longest time?","FIFO","LIFO","LRU","Optimal","C","technical","OS"
"28","What is the primary goal of process synchronization?","Avoid deadlocks","Improve CPU utilization","Prevent race conditions","Increase memory usage","C","technical","OS"
"29","Which type of OS scheduling is used in real-time systems?","Preemptive","Non-preemptive","FCFS","Round Robin","A","technical","OS"
"30","Which of the following is not a type of OS?","Batch OS","Distributed OS","Modular OS","Graphical OS","D","technical","OS"
"31","What is the main purpose of a buffer in OS?","Store temporary data","Schedule processes","Allocate memory","Manage users","A","technical","OS"
"32","Which of these is a characteristic of a real-time OS?","Handles batch jobs","Guaranteed response time","Single-user","Disk management","B","technical","OS"
"33","Which condition occurs when the CPU repeatedly switches between processes without doing useful work?","Deadlock","Livelock","Starvation","Thrashing","B","technical","OS"
"34","Which kernel type combines all services in a single block?","Microkernel","Monolithic kernel","Hibrid kernel","Exokernel","B","technical","OS"
"35","Which OS structure provides modularity and easier maintenance?","Monolithic kernel","Layered OS","Microkernel","Distributed kernel","B","technical","OS"
"36","Which technique allows a process to wait until another finishes?","Mutex","Semaphore","Blocking","Context Switch","C","technical","OS"
"37","Which of the following is true about a daemon process?","Runs in foreground","Requires user interaction","Runs in background","Terminates immediately","C","technical","OS"
"38","What is the role of a device driver?","Manages network traffic","Interfaces with hardware","Allocates memory","Schedules CPU","B","technical","OS"
"39","Which method is used to recover from deadlocks?","Wait-Die","Preemption","Rollback","All of the above","D","technical","OS"
"40","Which of the following is a non-preemptive scheduling algorithm?","Round Robin","Shortest Job Next","SJF (non-preemptive)","Priority (preemptive)","C","technical","OS"
"41","Which OS service manages I/O devices?","Process management","Memory management","Device management","File management","C","technical","OS"
"42","Which of the following is not a type of process state?","New","Ready","Waiting","Stored","D","technical","OS"
"43","Which technique improves CPU utilization by overlapping I/O and computation?","Caching","Multiprogramming","Paging","Segmentation","B","technical","OS"
"44","Which scheduling algorithm is best for time-sharing systems?","FCFS","Round Robin","SJF","Priority","B","technical","OS"
"45","What is aging in operating systems?","Increasing priority over time","Decreasing priority over time","Memory allocation technique","Process termination method","A","technical","OS"
"46","Which page replacement algorithm requires future knowledge of requests?","FIFO","LRU","Optimal","Second Chance","C","technical","OS"
"47","Which type of OS is designed for scientific applications requiring heavy computation?","Batch OS","Time-Sharing OS","Real-Time OS","Distributed OS","A","technical","OS"
"48","Which strategy can prevent starvation in priority scheduling?","Aging","Round Robin","FCFS","Segmentation","A","technical","OS"
"49","Which type of process communication is used in distributed OS?","Shared memory","Message passing","Interrupts","Semaphores","B","technical","OS"
"50","Which of the following is used for interprocess communication?","Semaphore","Thread","Process","Device Driver","A","technical","OS"
"51","Which of the following is NOT a feature of OOP?","Encapsulation","Polymorphism","Compilation","Inheritance","C","technical","OOPS"
"52","What is the process of hiding internal details of an object called?","Inheritance","Encapsulation","Polymorphism","Abstraction","B","technical","OOPS"
"53","Which OOP concept allows an object to take many forms?","Inheritance","Encapsulation","Polymorphism","Abstraction","C","technical","OOPS"
"54","What is the mechanism of deriving a new class from an existing class called?","Polymorphism","Inheritance","Encapsulation","Abstraction","B","technical","OOPS"
"55","Which of the following is a type of polymorphism in OOP?","Method Overloading","Method Hiding","Method Locking","Method Freezing","A","technical","OOPS"
"56","In which access specifier is a class member accessible only within the class?","Public","Private","Protected","Default","B","technical","OOPS"
"57","Which OOP principle focuses on separating interface from implementation?","Abstraction","Encapsulation","Polymorphism","Inheritance","A","technical","OOPS"
"58","What is the process of giving different implementations to the same function name called?","Encapsulation","Polymorphism","Abstraction","Inheritance","B","technical","OOPS"
"59","Which of the following is NOT true about constructors?","They initialize objects","They have the same name as the class","They return a value","They are automatically called","C","technical","OOPS"
"60","Which keyword is used to inherit a class in most OOP languages?","super","base","extends","implements","C","technical","OOPS"
"61","Which of the following is NOT an OOP language?","C++","Java","Python","C","D","technical","OOPS"
"62","What is the default access specifier for class members in C++?","Public","Private","Protected","None","B","technical","OOPS"
"63","Which concept allows reusing code efficiently?","Polymorphism","Inheritance","Abstraction","Encapsulation","B","technical","OOPS"
"64","What does the 'this' keyword represent in OOP?","Current method","Current object","Parent class","Global variable","B","technical","OOPS"
"65","Which type of inheritance allows a class to inherit from more than one class?","Single","Multiple","Multilevel","Hierarchical","B","technical","OOPS"
"66","Which type of inheritance forms a chain of classes?","Single","Multiple","Multilevel","Hierarchical","C","technical","OOPS"
"67","What type of inheritance allows multiple classes to inherit from a single class?","Single","Multiple","Multilevel","Hierarchical","D","technical","OOPS"
"68","Which term describes an object's blueprint?","Class","Object","Method","Interface","A","technical","OOPS"
"69","Which term describes an instance of a class?","Class","Object","Method","Interface","B","technical","OOPS"
"70","Which of these is used to achieve runtime polymorphism?","Method Overloading","Method Overriding","Encapsulation","Abstraction","B","technical","OOPS"
"71","Which of the following cannot be inherited?","Private members","Protected members","Public members","All of the above","A","technical","OOPS"
"72","What is the process of wrapping data and code together called?","Polymorphism","Encapsulation","Abstraction","Inheritance","B","technical","OOPS"
"73","Which of the following supports compile-time polymorphism?","Method Overloading","Method Overriding","Virtual Function","Abstract Function","A","technical","OOPS"
"74","Which OOP concept allows hiding unnecessary details from the user?","Polymorphism","Encapsulation","Abstraction","Inheritance","C","technical","OOPS"
"75","Which keyword is used to prevent a class from being inherited?","final","const","static","abstract","A","technical","OOPS"
"76","Which keyword prevents a method from being overridden?","final","private","static","abstract","A","technical","OOPS"
"77","Which of the following is true about an abstract class?","Can be instantiated","Contains only concrete methods","Contains abstract methods","Cannot have methods","C","technical","OOPS"
"78","Interfaces in OOP are used for?","Code reuse","Polymorphism","Multiple inheritance","Data hiding","C","technical","OOPS"
"79","Which type of method belongs to the class rather than an object?","Instance method","Static method","Abstract method","Virtual method","B","technical","OOPS"
"80","Which of the following best describes encapsulation?","Hiding implementation details","Sharing code","Defining multiple forms","Deriving classes","A","technical","OOPS"
"81","Which is true about method overriding?","It occurs at compile time","It occurs at runtime","It hides private methods","It creates new classes","B","technical","OOPS"
"82","Which of the following is used to access private members from outside the class?","Setter/Getter Methods","Friend Function","Direct Access","Both A and B","D","technical","OOPS"
"83","Which OOP feature reduces complexity by hiding internal implementation?","Abstraction","Encapsulation","Polymorphism","Inheritance","A","technical","OOPS"
"84","What is the main advantage of using inheritance?","Code reusability","Encapsulation","Polymorphism","Data hiding","A","technical","OOPS"
"85","Which of the following can an abstract class have?","Only abstract methods","Only concrete methods","Both abstract and concrete methods","No methods","C","technical","OOPS"
"86","Which keyword is used to define an abstract method in Java?","abstract","virtual","override","final","A","technical","OOPS"
"87","What is the difference between overloading and overriding?","Compile-time vs runtime","Runtime vs compile-time","Both are same","Cannot be determined","A","technical","OOPS"
"88","Which of the following can implement multiple interfaces in Java?","Class","Abstract Class","Interface","Both A and B","D","technical","OOPS"
"89","Which OOP concept is closely related to data hiding?","Encapsulation","Polymorphism","Inheritance","Abstraction","A","technical","OOPS"
"90","Which of the following is true for private members?","Accessible only within class","Accessible within package","Accessible outside package","Accessible everywhere","A","technical","OOPS"
"91","Which of these methods can be overridden in Java?","Static methods","Final methods","Private methods","Non-final instance methods","D","technical","OOPS"
"92","Which term refers to hiding internal details and exposing only functionality?","Encapsulation","Abstraction","Polymorphism","Inheritance","B","technical","OOPS"
